name,ra,dec,tns_name,tns_class,tns_redshift,peak_phase,nuclear,peak_mag,host_name,best_host_catalog,host_redshift,host_sep_arcsec,host_absmag,host_prob,high_host_confidence,best_redshift,peak_abs_mag,posted_before,transient_ra_deg,transient_dec_deg,yse_field,yse_pz
15DYSEbty,241.4109239228145,5.255849173094358,,,,0.8414268462365726,False,19.35,1.1430241412548754e+17,panstarrs,0.0824016272144407,5.724944120146842,-22.989335554065264,0.9652131047569604,False,,,False,,,481P2.F,
2025hdt,133.09795416666665,50.01898055555556,2025hdt,,,0.2017397834788425,False,19.425,9907737566055662.0,decals,0.073739,2.0755229168883966,-18.179692837420784,0.9999999999999676,True,0.073739,-18.182666763859903,False,,,757P2.F,
15CYSEbmo,254.46101674389504,2.3585866436313614,,,,0.9126077097462256,False,20.696,9906622333263718.0,decals,0.23714,1.1008882778990012,-20.67441215127232,0.8816911257066053,False,,,False,,,481P2.C,
15DYSEbuo,257.64360274626193,20.425820144507696,,,,0.9576077097517556,False,20.538,9906629066097808.0,decals,0.235246,0.3437116700000786,-20.34062235918565,0.9997845421486468,True,0.235246,-19.652896524357548,False,,,585P2.F,
2025giv,237.13438266565723,16.721810831738694,2025giv,,,0.9576077097517556,False,20.2,9906627717824640.0,decals,0.359428,0.6639211283446644,-19.407402308477376,0.5611169755105101,True,0.359428,-20.94431980867121,False,,,481P2.B,
15CYSEbol,236.597727800132,19.42719337453337,,,,0.9586077097483212,False,20.583,9906628705587364.0,decals,0.403216,0.0341102236883642,-20.29499273395389,0.9150914133445628,True,0.403216,-20.819852533828254,False,,,585P2.F,
2025gwy,241.45154583333328,32.229997222222224,2025gwy,,,2.2184288206262863,True,19.53,9906633034433772.0,decals,0.025089,0.2721492088247679,-15.388043160037778,0.9999999999999752,True,0.025089,-15.71147227212506,False,,,481P2.D,
15CYSEbls,243.56630334509543,34.554984869144285,,,,3.9676077097465168,True,19.955,9907733257061062.0,decals,0.355689,0.0312967763998378,-21.45784332937893,0.9902679363470313,True,0.355689,-21.16579145047828,False,,,481P2.F,
2025frn,248.7479516977592,32.547483783141644,2025frn,,,5.9326077097503,False,19.921,1.470524875048875e+17,panstarrs,0.1337427391542979,7.658467003487543,-19.82874224332205,0.9785463876135048,False,,,False,,,681P2.E,
2025gnl,162.66057050697336,52.48949802408001,2025gnl,,,0.6131222924086615,False,20.18,,,,,,,False,,,False,,,781P2.E_1,<https://ziggy.ucolick.org/yse/transient_detail/2025gnl|*YSE-PZ*>
2025cvf,173.65108834664665,12.945580959836777,2025cvf,,,2.561639355546504,False,18.936,1419390.0,glade,0.1257731665633759,11.492777113120615,18.15,0.9999999999997669,True,0.1257731665633759,-19.85480518340049,False,,,529P2.F,<https://ziggy.ucolick.org/yse/transient_detail/2025cvf|*YSE-PZ*>
15DYSEbuv,147.12348765750073,-18.938311631192587,,,,12.32818048226909,False,21.155,8.527147123482435e+16,panstarrs,0.510769669453418,0.1652824041948612,-21.70624467232877,0.9803328216340954,True,0.510769669453418,-20.778119185037177,False,,,311P2.E,<https://ziggy.ucolick.org/yse/transient_detail/15DYSEbuv|*YSE-PZ*>
