superphot_plus_A_ZTF_r,superphot_plus_beta_ZTF_r,superphot_plus_gamma_ZTF_r,superphot_plus_t_0_ZTF_r,superphot_plus_tau_rise_ZTF_r,superphot_plus_tau_fall_ZTF_r,superphot_plus_extra_sigma_ZTF_r,superphot_plus_A_ZTF_g,superphot_plus_beta_ZTF_g,superphot_plus_gamma_ZTF_g,superphot_plus_t_0_ZTF_g,superphot_plus_tau_rise_ZTF_g,superphot_plus_tau_fall_ZTF_g,superphot_plus_extra_sigma_ZTF_g,name,superphot_plus_classifier,superphot_plus_class,superphot_plus_prob,superphot_plus_prob_SLSN-I,superphot_plus_prob_SN Ia,superphot_plus_prob_SN Ibc,superphot_plus_prob_SN II,superphot_plus_prob_SN IIn,superphot_plus_classified
0.83904964,0.0056729084,15.597351,-9.715312,3.5386992,22.115072,0.034259953,1.1499553,0.010325184,12.641619,-9.356216,2.7929475,14.509673,0.017862625,313941448959459395,full_lightgbm_02_2025,SN Ia,0.996,0.004,0.996,0.0,0.0,0.0,True
1.0202128,0.004443008,21.585304,-10.366381,1.6603792,20.62917,0.06969617,1.1145493,0.009407714,14.326654,-10.437908,1.7898924,13.604254,0.04417677,314051320414732370,full_lightgbm_02_2025,SN Ibc,0.535,0.068,0.386,0.535,0.007,0.004,True
1.0370504,0.0048752096,20.091095,-12.597349,1.4710476,29.88422,0.03923939,0.8215734,0.010211956,11.267995,-12.674467,1.5771599,19.910707,0.028073333,170019696442081285,early_lightgbm_02_2025,SN Ibc,0.865,0.0,0.0,0.865,0.135,0.0,True
0.77538776,0.0061570453,13.055907,-10.400997,4.074033,23.49088,0.032307684,1.1477354,0.010712527,13.290081,-10.11028,2.5612285,15.332764,0.022546224,313853501446815761,full_lightgbm_02_2025,SN Ia,0.993,0.006,0.993,0.0,0.0,0.001,True
0.8957081,0.0064065736,24.087303,-22.166039,7.0061727,36.41696,0.069872424,1.4005787,0.010752056,20.138681,-21.981142,8.963333,32.11337,0.059239265,313756671695913113,full_lightgbm_02_2025,SLSN-I,1.0,1.0,0.0,0.0,0.0,0.0,True
1.0117596,0.0050862627,13.313027,-11.142475,1.3118572,25.36842,0.04956191,1.0344442,0.010085659,11.65784,-10.998077,1.3400333,14.289551,0.033588164,170019696466198671,full_lightgbm_02_2025,SN Ia,0.682,0.0,0.682,0.23,0.073,0.014,True
0.89719975,0.005576426,13.558347,-12.931757,2.0296273,24.214745,0.04063741,1.1368372,0.010322631,14.573414,-12.651121,2.471038,12.608834,0.037453227,313761042284412983,full_lightgbm_02_2025,SN Ia,0.997,0.003,0.997,0.0,0.0,0.0,True
1.0300798,0.0045929793,23.267159,-17.302166,1.6341031,23.81615,0.045655355,0.810322,0.009848358,9.598866,-17.581924,1.7838559,13.55489,0.03253264,170019696413769776,early_lightgbm_02_2025,SN Ibc,0.978,0.0,0.0,0.978,0.022,0.0,True
1.1519177,0.004277907,41.767292,-37.463097,10.212719,50.445366,0.085124135,1.3435881,0.0101917535,25.41072,-37.624176,11.064453,40.708748,0.058070727,313831458514927674,full_lightgbm_02_2025,SLSN-I,0.825,0.825,0.0,0.0,0.004,0.17,True
0.6994686,0.006958181,19.243126,-10.980909,1.6466256,35.13643,0.040463544,1.136632,0.011198856,13.800819,-10.657886,1.6503731,25.72879,0.030732593,313871013683134625,early_lightgbm_02_2025,SN Ia,0.42,0.261,0.42,0.001,0.317,0.0,True
0.96784467,0.004971144,17.048014,-14.885769,1.6352385,28.04991,0.06525999,0.8110317,0.010078843,9.329254,-15.027563,1.7715368,16.74504,0.034640692,170028485779128373,full_lightgbm_02_2025,SN Ibc,0.986,0.0,0.0,0.986,0.014,0.0,True
1.004094,0.005054829,16.746258,-15.378244,1.5931574,30.17411,0.04866126,0.8214761,0.010356533,10.207565,-15.523912,1.7155437,18.89188,0.029233307,314051321101549625,full_lightgbm_02_2025,SN Ibc,0.989,0.0,0.0,0.989,0.011,0.0,True
0.9441415,0.0050584516,18.473253,-8.510706,2.6263158,21.88542,0.046173207,1.0813801,0.009989174,14.259758,-8.614458,2.7809997,15.161741,0.030615684,313765480704245975,full_lightgbm_02_2025,SN Ia,0.941,0.025,0.941,0.02,0.002,0.012,True
1.0117596,0.0050862627,13.313027,-11.142475,1.3118572,25.36842,0.04956191,1.0344442,0.010085659,11.65784,-10.998077,1.3400333,14.289551,0.033588164,170019696466198671,full_lightgbm_02_2025,SN Ia,0.682,0.0,0.682,0.23,0.073,0.014,True
1.0113711,0.005012298,19.16659,-11.899691,1.4390069,32.0764,0.04123278,0.8186809,0.010283564,11.626052,-11.963184,1.5180695,22.102522,0.025901552,170028486178635819,early_lightgbm_02_2025,SN Ibc,0.833,0.0,0.0,0.833,0.167,0.0,True
1.0235827,0.0047316724,21.541813,-5.984728,2.1768074,28.830511,0.06397231,1.0035646,0.009444413,16.461433,-4.907438,2.163861,19.224209,0.029391406,313967752817672227,full_lightgbm_02_2025,SN Ibc,0.567,0.032,0.03,0.567,0.007,0.364,True
1.0211117,0.00450237,16.911736,-16.000065,1.6088467,23.351494,0.05239237,0.8536846,0.009611243,8.725356,-16.21088,1.7327724,11.63848,0.02914165,314051321203785807,full_lightgbm_02_2025,SN Ibc,1.0,0.0,0.0,1.0,0.0,0.0,True
1.0265197,0.0047802487,18.227762,-14.076407,1.5979505,33.754295,0.052107148,0.8231987,0.010070871,10.457855,-14.201078,1.7268901,23.044338,0.031714857,170019696266444924,full_lightgbm_02_2025,SN Ibc,0.86,0.0,0.0,0.86,0.14,0.0,True
1.0211117,0.00450237,16.911736,-16.000065,1.6088467,23.351494,0.05239237,0.8536846,0.009611243,8.725356,-16.21088,1.7327724,11.63848,0.02914165,314051321203785807,full_lightgbm_02_2025,SN Ibc,1.0,0.0,0.0,1.0,0.0,0.0,True
1.0201349,0.0045064776,19.021454,-10.613422,1.403565,28.6921,0.064691484,0.9568211,0.009571044,11.571407,-10.601532,1.4326602,19.038464,0.032930963,313994145147388004,early_lightgbm_02_2025,SN II,0.514,0.004,0.008,0.434,0.514,0.04,True
1.0187995,0.005016643,18.029549,-13.400347,1.5152028,29.70993,0.052409913,0.860056,0.0102394,10.729263,-13.501616,1.606087,18.2141,0.029664338,170019696440508539,full_lightgbm_02_2025,SN Ibc,0.923,0.0,0.0,0.923,0.077,0.0,True
0.96363986,0.0049805744,18.558825,-4.9622917,1.6893632,25.383085,0.07086949,0.9785012,0.009984793,14.073677,-6.330529,1.9402486,15.843514,0.03264671,170028486213238822,early_lightgbm_02_2025,SN II,0.683,0.003,0.0,0.256,0.683,0.058,True
0.99765635,0.005098558,12.94319,-10.983317,1.3548911,17.966652,0.05821034,0.9914168,0.010124054,12.4380045,-10.789898,1.4026024,10.659636,0.03907212,314051321267748936,full_lightgbm_02_2025,SN Ia,0.73,0.0,0.73,0.236,0.0,0.035,True
1.0187995,0.005016643,18.029549,-13.400347,1.5152028,29.70993,0.052409913,0.860056,0.0102394,10.729263,-13.501616,1.606087,18.2141,0.029664338,170019696440508539,full_lightgbm_02_2025,SN Ibc,0.923,0.0,0.0,0.923,0.077,0.0,True
0.9799793,0.0049277777,16.87435,-16.16087,1.651865,26.3586,0.057304293,0.804337,0.010150939,9.4605,-16.329567,1.797298,17.715744,0.031449366,170019696482451458,full_lightgbm_02_2025,SN Ibc,1.0,0.0,0.0,1.0,0.0,0.0,True
0.89719975,0.005576426,13.558347,-12.931757,2.0296273,24.214745,0.04063741,1.1368372,0.010322631,14.573414,-12.651121,2.471038,12.608834,0.037453227,313761042284412983,full_lightgbm_02_2025,SN Ia,0.997,0.003,0.997,0.0,0.0,0.0,True
