"id","ra [deg]","dec [deg]","redshift","classification","probability","annotation origin","annotation origin key-value pair count","annotation key","annotation value","groups","Saved at","Alias","Origin","TNS"
"313897383647772709","60.392471288032795","-48.8972751871008","","","","","","","","Superphot LSST","2026-02-25T15:06:29","","",""
"313756671828033555","63.57255471063213","-49.085745928777754","","","","","","","","Superphot LSST","2026-02-25T15:06:24","","",""
"314051320292573245","58.35274009120703","-49.17310343674994","","","","","","","","Superphot LSST","2026-02-25T15:06:22","","",""
"170019696438935593","62.952947876578165","-47.74922018804534","","","","","","","","Superphot LSST","2026-02-25T15:06:21","","",""
"313761042417582091","61.17661857606213","-47.346873282957326","","","","","","","","Superphot LSST","2026-02-25T15:06:19","","",""
"313994145147388004","62.6433944552601","-47.405743094399035","","","","","","","","Superphot LSST","2026-02-25T15:06:17","","",""
"170019696345088120","58.08645226914963","-48.01942458527983","","","","","","","","Superphot LSST","2026-02-25T15:06:16","","",""
"313963359375458336","59.91416558704519","-48.16894031003725","","","","","","","","Superphot LSST","2026-02-25T15:06:13","","",""
"313708289125777420","65.26940387128893","-48.30341876812975","","","","","","","","Superphot LSST","2026-02-25T15:06:11","","",""
"313963359511248932","62.92358350577236","-46.617354686711764","","","","","","","","Superphot LSST","2026-02-25T15:06:09","","",""
"170028486327533675","59.838680161224374","-49.72321820346414","","","","","","","","Superphot LSST","2026-02-25T15:06:07","","",""
"313690717366517778","63.03722696565311","-49.11956174918296","","","","","","","","Superphot LSST","2026-02-25T15:06:05","","",""
"313708289137836118","64.41874057801613","-47.255483060339806","","","","","","","","Superphot LSST","2026-02-25T15:06:03","","",""
"313690717248552980","59.52848177161506","-49.38262565017027","","","","","","","","Superphot LSST","2026-02-25T15:06:01","","",""
"313871013915918446","62.7882199206864","-48.92940725483136","","","","","","","","Superphot LSST","2026-02-25T15:05:59","","",""
"170019696266444924","59.899041420152116","-50.45968755398987","","","","","","","","Superphot LSST","2026-02-25T15:05:57","","",""
"313897383924072454","65.37038202751533","-48.18516275855943","","","","","","","","Superphot LSST","2026-02-25T15:05:55","","",""
"170028485783322694","58.405901728084146","-50.09733728430263","","","","","","","","Superphot LSST","2026-02-25T15:05:54","","",""
"314007345737760850","57.886142730068784","-48.26229430857472","","","","","","","","Superphot LSST","2026-02-25T15:05:53","","",""
"170019696282173491","59.88619709221454","-50.325300367025015","","","","","","","","Superphot LSST","2026-02-25T15:05:51","","",""
"313831458465644575","64.13165881865525","-48.59424687032388","","","","","","","","Superphot LSST","2026-02-25T15:05:47","","",""
"313972155185365171","58.27696451660834","-49.17074368021871","","","","","","","","Superphot LSST","2026-02-25T15:05:45","","",""
"313879818852630588","64.75128362560793","-48.63069502146361","","","","","","","","Superphot LSST","2026-02-25T15:05:42","","",""
"313963359532744750","61.92649493385829","-46.446828723061095","","","","","","","","Superphot LSST","2026-02-25T15:05:39","","",""
"170019696482451458","61.620644809580966","-47.420817847183805","","","","","","","","Superphot LSST","2026-02-25T15:05:37","","",""
"313637935696576580","59.86434185701343","-48.024892135553046","","","","","","","","Superphot LSST","2026-02-25T15:05:36","","",""
"313941449021325389","63.6016085083887","-46.13328782328819","","","","","","","","Superphot LSST","2026-02-25T15:05:21","","",""
"313980945241735233","60.84201447494372","-47.97407101636696","","","","","","","","Superphot LSST","2026-02-25T15:05:19","","",""
"313677516638257169","60.18054983293264","-49.03604933287132","","","","","","","","Superphot LSST","2026-02-25T15:05:17","","",""
"170019696413769776","63.980259976832585","-48.39786666740095","","","","","","","","Superphot LSST","2026-02-25T15:05:14","","",""
"170028485779128373","59.1408562198847","-50.642926112645746","","","","","","","","Superphot LSST","2026-02-25T15:05:12","","",""
"313831458340864047","57.88679151651891","-49.99713888248637","","","","","","","","Superphot LSST","2026-02-25T15:05:08","","",""
"170019696323592290","59.36248330023136","-47.98234019745209","","","","","","","","Superphot LSST","2026-02-25T15:05:07","","",""
"170019696345088104","58.156947385088706","-48.01473032345447","","","","","","","","Superphot LSST","2026-02-25T15:05:05","","",""
"313677516650315865","59.03458649810381","-50.78845375488475","","","","","","","","Superphot LSST","2026-02-25T15:05:04","","",""
"313871013579325450","57.79670736379304","-48.198581838018335","","","","","","","","Superphot LSST","2026-02-25T15:05:03","","",""
"314051321203785807","64.54151046482544","-47.70859235386933","","","","","","","","Superphot LSST","2026-02-25T15:05:01","","",""
"170019696472490057","63.290710068327535","-46.09958265728252","","","","","","","","Superphot LSST","2026-02-25T15:05:00","","",""
"313637935744286779","57.430479137524166","-48.56294664457828","","","","","","","","Superphot LSST","2026-02-25T15:04:58","","",""
"313871014736953360","60.188651621796524","-49.185943667740545","","","","","","","","Superphot LSST","2026-02-25T15:04:57","","",""
