name,peak_phase,peak_mag,yse_pz,yse_field,ra,dec,tns_name,tns_redshift,tns_class,host_redshift,host_prob,host_sep_arcsec,best_host_catalog,host_absmag,best_redshift,host_name,high_host_confidence,peak_abs_mag
15BYSEami,73.01255725132069,18.779,<https://ziggy.ucolick.org/yse/transient_detail/15BYSEami|*YSE-PZ*>,719.A,215.22574243251756,53.11826460196287,,,---,0.043608,0.999999999999996,0.16813062183359156,decals,-21.407848017638717,0.043608,9907738287276530,True,-17.672808261490385
15BYSEawm,103.90855725132133,18.895000000000003,<https://ziggy.ucolick.org/yse/transient_detail/15BYSEawm|*YSE-PZ*>,749.F,244.10429793550512,51.053473479362964,,,---,0.0423125943733509,0.9999999999999915,2.862600557431651,glade,-20.899997514375997,0.0423125943733509,84751,True,-17.490646253278182
15BYSEarg,38.18955725131673,20.031,<https://ziggy.ucolick.org/yse/transient_detail/15BYSEarg|*YSE-PZ*>,749.D,208.1616090952446,49.78038416283169,,,---,0.0704293771861983,0.999999999998882,25.041449894498292,glade,-20.849997213610546,,2353309,False,
15CYSEbhr,68.15155725131626,19.941000000000003,<https://ziggy.ucolick.org/yse/transient_detail/15CYSEbhr|*YSE-PZ*>,719.D,157.4342273495441,41.82665738705267,,,---,0.1600268107872241,0.999999999999839,8.382934147049065,glade,-21.29000112185742,,2187519,False,
15CYSEblb,90.96355725131434,20.089,<https://ziggy.ucolick.org/yse/transient_detail/15CYSEblb|*YSE-PZ*>,719.A,245.86990341114426,37.91254900547286,,,---,0.349883,0.9999999999999759,0.31823224025136926,decals,-21.94898085211508,0.349883,9907734324904981,True,-20.994759016089205
15CYSEbkv,15.047557251316903,20.256,<https://ziggy.ucolick.org/yse/transient_detail/15CYSEbkv|*YSE-PZ*>,618.A,242.40469315653195,25.00366701420687,,,---,0.403491,0.9999999999999568,0.3530712756336861,decals,-20.77841231765803,0.403491,9906630630444022,True,-21.148384909916658
15AYSEadr,145.25855725131987,14.046999999999999,<https://ziggy.ucolick.org/yse/transient_detail/15AYSEadr|*YSE-PZ*>,,66.84125101636907,-25.467228484925048,,,---,0.01046,0.9982948139519252,0.13258770144812243,decals,-12.172041318261655,0.01046,9906612115412905,True,-19.28655217304814
15CYSEbch,1.1155572513162042,19.87,<https://ziggy.ucolick.org/yse/transient_detail/15CYSEbch|*YSE-PZ*>,575.A,238.81114229509467,17.64612606809439,,,---,0.689246,0.9998632011778117,0.18436695366545025,decals,-21.736958617558976,0.689246,9906628079192206,True,-22.728989702502012
15CYSEbje,56.13255725131603,20.701,<https://ziggy.ucolick.org/yse/transient_detail/15CYSEbje|*YSE-PZ*>,527.C,201.63643027015277,48.446258396549204,,,---,0.346863,0.9999999999998512,4.086696957995888,decals,-21.217058720560704,0.346863,9907737206851753,True,-20.363251860247463
15CYSEbjb,70.07855725131958,20.511,<https://ziggy.ucolick.org/yse/transient_detail/15CYSEbjb|*YSE-PZ*>,749.E,210.73187073816845,46.55048495854539,,,---,0.217616,0.9999999999999916,0.34168427182654293,decals,-21.490546457396892,0.217616,9907736696917095,True,-19.505014718912236
15CYSEbib,81.00755725131603,19.205,<https://ziggy.ucolick.org/yse/transient_detail/15CYSEbib|*YSE-PZ*>,577.B,238.32296818151184,20.72874434319549,,,---,0.431806,0.9999999999999928,0.13836485593366088,decals,-21.427019344692376,0.431806,9906629149722498,True,-22.35174698619023
14LYSEitb,147.32655725131917,15.187999999999999,<https://ziggy.ucolick.org/yse/transient_detail/14LYSEitb|*YSE-PZ*>,674.C,340.09624932555226,28.099905476284974,,,---,0.455117,0.9999999999885615,3.6069759787143476,decals,-19.86284890135599,0.455117,9906631667944499,True,-26.48673985226179
15CYSEbfh,77.05355725131813,18.368000000000002,<https://ziggy.ucolick.org/yse/transient_detail/15CYSEbfh|*YSE-PZ*>,719.A,216.53410075830573,24.37308665982391,,,---,0.101857,0.9999999999091019,58.11362418613754,decals,-22.531939517174205,0.101857,9906630452642707,True,-19.95432277956207
15CYSEbjg,60.02955725132051,19.724,<https://ziggy.ucolick.org/yse/transient_detail/15CYSEbjg|*YSE-PZ*>,719.D,240.4268557958898,42.72491030673747,,,---,0.30475,0.9999999999999832,0.35781910798416405,decals,-20.26603535962565,0.30475,9907735692382217,True,-21.048957962419394
15CYSEbax,30.29455725131993,20.102,<https://ziggy.ucolick.org/yse/transient_detail/15CYSEbax|*YSE-PZ*>,749.E,127.50421087898292,44.548418094388154,,,---,0.206784,0.9999999999999939,0.18677921003824513,decals,-21.169538955504347,0.206784,9907736150543421,True,-19.79948628499416
15BYSEalx,102.968557251319,19.579,<https://ziggy.ucolick.org/yse/transient_detail/15BYSEalx|*YSE-PZ*>,719.A,217.01073767101832,11.300061360874732,,,---,0.444914,0.9973509494044406,0.23783255705536163,decals,-20.011567693792593,0.444914,9906625696893018,True,-22.04487231907179
