,tns_name,tns_class,tns_redshift,superphot_plus_class_prob,ra,dec,peak_mag,peak_phase,superphot_plus_classifier,superphot_plus_sampler,superphot_plus_class,host_sep_arcsec,host_name,host_redshift,host_redshift_type,posted_before,host_absmag,host_prob,best_host_catalog,transient_ra_deg,transient_dec_deg,superphot_plus_prob,high_host_confidence,superphot_plus_class_no_z,superphot_plus_prob_no_z,superphot_plus_class_without_redshift,superphot_plus_prob_without_redshift,peak_abs_mag,nuclear,best_redshift,superphot_nonIa_prob,superphot_non_Ia_prob,yse_field,yse_pz
ANT2025osqwu0mz4mfs,2025kyb,CV,0.0,,271.53337186579364,31.629980016545616,16.639135360717773,12.66994501480076,full_lightgbm_02_2025,svi,SLSN-I,,,,,False,,,,,,0.964,False,,,,,,,,,1.0,674.A,<https://ziggy.ucolick.org/yse/transient_detail/2025kyb|*YSE-PZ*>
ANT2025vtrhkvlex97q,---,---,,,303.3066692888818,11.90071668620986,14.987582206726074,13.54611391450453,full_lightgbm_02_2025,svi,SN II,,,,,False,,,,,,0.963,False,,,,,,,,,1.0,527.F,
ANT2025horrkys8e0mj,2025lyf,SN Ia,0.034,,226.32222164573744,-10.303817008818314,17.98699188232422,2.6731394144444494,early_lightgbm_02_2025,svi,SN Ibc,,,,,False,,,,,,0.944,False,,,SN Ibc,0.577,-17.919288786188204,,0.034,,0.977,365.E,<https://ziggy.ucolick.org/yse/transient_detail/2025lyf|*YSE-PZ*>
ANT2025zji4cmog8qs6,2025kvd,CV,0.0,,303.8224375710279,-12.490715990869065,16.984161376953125,13.549447314508145,full_lightgbm_02_2025,svi,SLSN-I,,,,,False,,,,,,0.697,False,,,,,,,,,1.0,365.E,<https://ziggy.ucolick.org/yse/transient_detail/2025kvd|*YSE-PZ*>
ANT2025s75z8xml6yqn,2025kyy,SN Ia,0.06,,340.6997355,51.50387229148582,16.46373748779297,3.178267880706698,early_lightgbm_02_2025,svi,SLSN-I,,,,,False,,,,,,1.0,False,,,SN Ia,0.98,-20.68940824363365,,0.06,,1.0,749.F,<https://ziggy.ucolick.org/yse/transient_detail/2025kyy|*YSE-PZ*>
ANT2025zkbrxgzuo45q,2025mqc,SN Ib,0.0087,,190.9676593,-0.5609082998514623,17.657611846923828,0.4800058267210261,early_lightgbm_02_2025,svi,SN Ibc,19.79332481668106,NGC4653,0.0077568948518267,,False,-19.85003222049025,0.9896921097495393,glade,,,0.932,True,,,SN Ibc,0.873,-15.274876518728906,,0.0087,,1.0,423.A,<https://ziggy.ucolick.org/yse/transient_detail/2025mqc|*YSE-PZ*>
ANT202593i4uler93t5,2025lic,SN,0.042,,231.6608121695108,6.107438710786255,18.13098526000977,7.386204111659026,early_lightgbm_02_2025,svi,SN II,0.969408664049742,9906623740121198,0.150731,,False,-18.224037435429825,0.6580448020046592,decals,,,1.0,False,,,SN II,1.0,-18.23839489169796,,0.042,,1.0,468.D,<https://ziggy.ucolick.org/yse/transient_detail/2025lic|*YSE-PZ*>
ANT2025gufo1p55ngt2,---,---,,,279.97182423564936,12.344129804783025,17.599668502807617,4.246215711616969,early_lightgbm_02_2025,svi,SN II,,,,,False,,,,,,0.998,False,,,,,,,,,1.0,527.F,
ANT20257cdzyqiyph5z,2025mxo,---,,,295.1700525,55.73690421696205,17.1903018951416,7.339780511603749,early_lightgbm_02_2025,svi,SLSN-I,,,,,False,,,,,,0.721,False,,,,,,,,,0.997,,<https://ziggy.ucolick.org/yse/transient_detail/2025mxo|*YSE-PZ*>
ANT20253p2wqcrpe3cv,2025ngs,SN II,0.0063,,233.81951547727093,30.86548382826578,15.77437686920166,0.3015839034342207,early_lightgbm_02_2025,svi,SN II,11.850705243290376,NGC5961,0.0056284082992874,,False,-18.119973941924464,0.9064962928123422,glade,,,0.995,False,,,SN II,0.998,-16.45584518953828,,0.0063,,1.0,674.A,<https://ziggy.ucolick.org/yse/transient_detail/2025ngs|*YSE-PZ*>
ANT2025x78b3r12pwdr,---,---,,,303.64329407930234,25.274001070054737,16.625123977661133,4.240611603076104,early_lightgbm_02_2025,svi,SN II,,,,,False,,,,,,0.792,False,,,,,,,,,1.0,618.A,
ANT2025ylwiogjafi4v,2025nda,---,,,278.71356712579245,22.15477244532117,16.19190216064453,11.21230140334228,full_lightgbm_02_2025,dynesty,SLSN-I,,,,,False,,,,,,0.543,False,,,,,,,,,1.0,577.D,<https://ziggy.ucolick.org/yse/transient_detail/2025nda|*YSE-PZ*>
